date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-31,23,1,4,4,丸山　貴秀,13996,45,秋田,89,Ｓ２,追,3.92,96.55,0,3,3,18,0,12.5,25,0,0,1,2,3,0,取手,05/31,,,,,京王閣,05/24,,,,,平塚,05/10,一6,抜6,般8,般5,須永君へ。,2,3
2025-05-31,23,1,4,5,志村　太賀,14076,41,山梨,90,Ｓ２,追,3.92,102.66,4,5,4,16,13.79,31.03,44.83,0,1,5,3,8,0,取手,05/31,,,,,奈良,05/23,予4,準7,般1,,平塚,05/10,一6,抜1,特4,特4,浮島君。,3,2
2025-05-31,23,1,5,6,宮下　貴之,13405,51,埼玉,81,Ｓ２,追,3.93,93.33,0,1,0,20,0,4.76,4.76,0,0,0,1,0,0,取手,05/31,,,,,弥彦,05/20,般7,,,,福井,05/14,予6,般4,般6,,関東３番手。,3,3
2025-05-31,23,1,5,7,小川真太郎,15063,32,徳島,107,Ｓ１,両,3.92,108.80,5,1,3,11,25,30,45,0,2,4,0,2,0,取手,05/31,,,,,青森,05/24,抜3,特8,,,平塚,05/10,一6,抜1,特1,秀5,西田君。,1,2
2025-05-31,23,1,6,8,吉松　直人,14109,44,高知,90,Ｓ２,追,3.92,96.44,2,5,2,18,7.41,25.93,33.33,0,1,4,2,2,0,取手,05/31,,,,,高松,05/21,予1,準4,特2,,玉野,05/12,予6,般3,般6,,中四国３番手。,1,3
2025-05-31,23,1,6,9,鈴木　浩太,15525,28,千葉,119,Ｓ２,逃,3.92,100.50,1,7,3,9,5,40,55,7,1,0,0,2,12,取手,05/31,,,,,奈良,05/23,予2,準6,特7,,福井,05/14,予7,般3,般2,,自力。,2,1
2025-05-31,23,2,1,1,石毛　克幸,13628,48,千葉,84,Ｓ２,追,3.92,101.12,2,5,6,12,8,28,52,0,0,5,2,4,0,取手,05/31,,,,,大垣,05/20,予3,準6,特2,,福井,05/02,予3,準4,特3,,染谷君。,1,2
2025-05-31,23,2,2,2,横関　裕樹,14754,37,岐阜,99,Ｓ２,両,3.92,104.81,9,4,5,9,33.33,48.15,66.67,3,5,3,2,14,4,取手,05/31,,,,,京王閣,05/24,予1,準3,決2,,福井,05/14,予1,準1,決7,,自力。,2,1
2025-05-31,23,2,3,3,坂本　修一,14769,37,岡山,99,Ｓ２,追,3.92,102.08,3,5,5,13,11.54,30.77,50,0,0,6,2,0,0,取手,05/31,,,,,武雄,05/20,予2,準7,特3,,玉野,05/12,予2,準3,決4,,月森君。,3,2
2025-05-31,23,2,4,4,水谷　良和,12592,53,愛知,70,Ｓ２,追,3.92,96.30,0,5,4,11,0,25,45,0,0,3,2,0,0,取手,05/31,,,,,弥彦,05/20,予7,般2,般2,,岐阜,05/14,般2,般7,,,岐阜勢へ。,2,3
