date,venue_name,venue_id
20120709,宇都宮,24
20120709,小倉,81
20120709,松山,75
20120709,熊本,87
20120709,青森,12
20120710,宇都宮,24
20120710,一宮,
20120710,玉野,61
20120710,小倉,81
20120710,防府,63
20120710,岸和田,56
20120710,青森,12
20120710,川崎,34
20120710,熊本,87
20120710,豊橋,45
20120710,松山,75
20120711,岸和田,56
20120711,玉野,61
20120711,豊橋,45
20120711,熊本,87
20120711,松山,75
20120711,一宮,
20120711,防府,63
20120711,川崎,34
20120712,一宮,
20120712,川崎,34
20120713,いわき平,13
20120713,松戸,31
20120713,弥彦,21
20120714,松戸,31
20120714,いわき平,13
20120714,弥彦,21
20120715,松戸,31
20120715,弥彦,21
20120715,いわき平,13
20120716,弥彦,21
20120716,函館,11
20120717,函館,11
20120717,和歌山,55
20120717,松阪,47
20120717,前橋,22
20120717,岐阜,43
20120717,武雄,84
20120717,川崎,34
20120717,高知,74
20120718,高知,74
20120718,別府,86
20120718,和歌山,55
20120718,武雄,84
20120718,松阪,47
20120718,川崎,34
20120718,函館,11
20120718,岐阜,43
20120718,前橋,22
20120719,和歌山,55
20120719,川崎,34
20120719,武雄,84
20120719,奈良,53
20120719,高知,74
20120719,別府,86
20120719,松阪,47
20120719,前橋,22
20120719,岐阜,43
20120720,青森,12
20120720,大垣,44
20120720,平塚,35
20120720,奈良,53
20120720,別府,86
20120720,広島,62
20120721,広島,62
20120721,久留米,83
20120721,奈良,53
20120721,大垣,44
20120721,平塚,35
20120721,青森,12
20120722,青森,12
20120722,平塚,35
20120722,久留米,83
20120722,大垣,44
20120722,広島,62
20120723,久留米,83
20120724,松戸,31
20120724,久留米,83
20120725,松戸,31
20120725,小松島,73
20120725,前橋,22
20120725,青森,12
20120725,岸和田,56
20120725,奈良,53
20120725,豊橋,45
20120725,佐世保,85
20120725,一宮,
20120726,青森,12
20120726,小松島,73
20120726,前橋,22
20120726,佐世保,85
20120726,豊橋,45
20120726,松戸,31
20120726,四日市,48
20120726,一宮,
20120726,奈良,53
20120726,岸和田,56
20120727,小松島,73
20120727,別府,86
20120727,四日市,48
20120727,佐世保,85
20120727,前橋,22
20120727,奈良,53
20120727,豊橋,45
20120727,一宮,
20120727,青森,12
20120727,玉野,61
20120727,岸和田,56
20120728,別府,86
20120728,玉野,61
20120728,福井,51
20120728,四日市,48
20120729,函館,11
20120729,別府,86
20120729,一宮,
20120729,玉野,61
20120729,福井,51
20120730,小倉,81
20120730,函館,11
20120730,一宮,
20120730,福井,51
20120731,福井,51
20120731,一宮,
20120731,小倉,81
20120731,函館,11
20120801,宇都宮,24
20120801,和歌山,55
20120801,小倉,81
20120801,名古屋,42
20120801,佐世保,85
20120801,防府,63
20120802,宇都宮,24
20120802,四日市,48
20120802,熊本,87
20120802,名古屋,42
20120802,防府,63
20120802,和歌山,55
20120802,佐世保,85
20120803,和歌山,55
20120803,名古屋,42
20120803,宇都宮,24
20120803,青森,12
20120803,奈良,53
20120803,佐世保,85
20120803,四日市,48
20120803,防府,63
20120803,熊本,87
20120804,小松島,73
20120804,小田原,36
20120804,熊本,87
20120804,四日市,48
20120804,青森,12
20120804,奈良,53
20120805,小松島,73
20120805,小田原,36
20120805,奈良,53
20120805,青森,12
20120806,小倉,81
20120806,小田原,36
20120806,一宮,
20120806,小松島,73
20120807,函館,11
20120807,小倉,81
20120807,小田原,36
20120807,一宮,
20120808,一宮,
20120808,函館,11
20120808,小倉,81
20120809,函館,11
20120809,松戸,31
20120809,松山,75
20120810,松戸,31
20120810,いわき平,13
20120810,松山,75
20120810,名古屋,42
20120811,名古屋,42
20120811,松山,75
20120811,いわき平,13
20120811,松戸,31
20120812,松戸,31
20120812,武雄,84
20120812,いわき平,13
20120812,名古屋,42
20120813,小松島,73
20120813,岸和田,56
20120813,松阪,47
20120813,平塚,35
20120813,熊本,87
20120813,武雄,84
20120813,一宮,
20120814,武雄,84
20120814,小松島,73
20120814,青森,12
20120814,一宮,
20120814,岸和田,56
20120814,熊本,87
20120814,松阪,47
20120814,平塚,35
20120815,熊本,87
20120815,小松島,73
20120815,青森,12
20120815,一宮,
20120815,岸和田,56
20120815,松阪,47
20120815,平塚,35
20120816,青森,12
20120816,岐阜,43
20120817,広島,62
20120817,静岡,38
20120817,和歌山,55
20120817,前橋,22
20120817,岐阜,43
20120817,四日市,48
20120818,和歌山,55
20120818,前橋,22
20120818,岐阜,43
20120818,静岡,38
20120818,広島,62
20120818,四日市,48
20120819,和歌山,55
20120819,岐阜,43
20120819,前橋,22
20120819,久留米,83
20120819,静岡,38
20120819,広島,62
