date,place
2012-07-10,防府
2012-07-10,岸和田
2012-07-10,青森
2012-07-10,川崎
2012-07-10,熊本
2012-07-10,豊橋
2012-07-10,松山
2012-07-11,岸和田
2012-07-11,玉野
2012-07-11,豊橋
2012-07-11,熊本
2012-07-11,松山
2012-07-11,一宮
2012-07-11,防府
2012-07-11,川崎
2012-07-12,一宮
2012-07-12,川崎
2012-07-13,いわき平
2012-07-13,松戸
2012-07-13,弥彦
2012-07-14,松戸
2012-07-14,いわき平
2012-07-14,弥彦
2012-07-15,松戸
2012-07-15,弥彦
2012-07-15,いわき平
2012-07-16,弥彦
2012-07-16,函館
2012-07-17,函館
2012-07-17,和歌山
2012-07-17,松阪
2012-07-17,前橋
2012-07-17,岐阜
2012-07-17,武雄
2012-07-17,川崎
2012-07-17,高知
2012-07-18,高知
2012-07-18,別府
2012-07-18,和歌山
2012-07-18,武雄
2012-07-18,松阪
2012-07-18,川崎
2012-07-18,函館
2012-07-18,岐阜
2012-07-18,前橋
2012-07-19,和歌山
2012-07-19,川崎
2012-07-19,武雄
2012-07-19,奈良
2012-07-19,高知
2012-07-19,別府
2012-07-19,松阪
2012-07-19,前橋
2012-07-19,岐阜
2012-07-20,青森
2012-07-20,大垣
2012-07-20,平塚
2012-07-20,奈良
2012-07-20,別府
2012-07-20,広島
2012-07-21,広島
2012-07-21,久留米
2012-07-21,奈良
2012-07-21,大垣
2012-07-21,平塚
2012-07-21,青森
2012-07-22,青森
2012-07-22,平塚
2012-07-22,久留米
2012-07-22,大垣
2012-07-22,広島
2012-07-23,久留米
2012-07-24,松戸
2012-07-24,久留米
2012-07-25,松戸
2012-07-25,小松島
2012-07-25,前橋
2012-07-25,青森
2012-07-25,岸和田
2012-07-25,奈良
2012-07-25,豊橋
2012-07-25,佐世保
2012-07-25,一宮
2012-07-26,青森
2012-07-26,小松島
2012-07-26,前橋
2012-07-26,佐世保
2012-07-26,豊橋
2012-07-26,松戸
2012-07-26,四日市
2012-07-26,一宮
2012-07-26,奈良
2012-07-26,岸和田
2012-07-27,小松島
2012-07-27,別府
2012-07-27,四日市
2012-07-27,佐世保
2012-07-27,前橋
2012-07-27,奈良
2012-07-27,豊橋
2012-07-27,一宮
2012-07-27,青森
2012-07-27,玉野
2012-07-27,岸和田
2012-07-28,別府
2012-07-28,玉野
2012-07-28,福井
2012-07-28,四日市
2012-07-29,函館
2012-07-29,別府
2012-07-29,一宮
2012-07-29,玉野
2012-07-29,福井
2012-07-30,小倉
2012-07-30,函館
2012-07-30,一宮
2012-07-30,福井
2012-07-31,福井
2012-07-31,一宮
2012-07-31,小倉
2012-07-31,函館
2012-08-01,宇都宮
2012-08-01,和歌山
2012-08-01,小倉
2012-08-01,名古屋
2012-08-01,佐世保
2012-08-01,防府
2012-08-02,宇都宮
2012-08-02,四日市
2012-08-02,熊本
2012-08-02,名古屋
2012-08-02,防府
2012-08-02,和歌山
2012-08-02,佐世保
2012-08-03,和歌山
2012-08-03,名古屋
2012-08-03,宇都宮
2012-08-03,青森
2012-08-03,奈良
2012-08-03,佐世保
2012-08-03,四日市
2012-08-03,防府
2012-08-03,熊本
2012-08-04,小松島
2012-08-04,小田原
2012-08-04,熊本
2012-08-04,四日市
2012-08-04,青森
2012-08-04,奈良
2012-08-05,小松島
2012-08-05,小田原
2012-08-05,奈良
2012-08-05,青森
2012-08-06,小倉
2012-08-06,小田原
2012-08-06,一宮
2012-08-06,小松島
2012-08-07,函館
2012-08-07,小倉
2012-08-07,小田原
2012-08-07,一宮
2012-08-08,一宮
2012-08-08,函館
2012-08-08,小倉
2012-08-09,函館
2012-08-09,松戸
2012-08-09,松山
2012-08-10,松戸
2012-08-10,いわき平
2012-08-10,松山
2012-08-10,名古屋
2012-08-11,名古屋
2012-08-11,松山
2012-08-11,いわき平
2012-08-11,松戸
2012-08-12,松戸
2012-08-12,武雄
2012-08-12,いわき平
2012-08-12,名古屋
2012-08-13,小松島
2012-08-13,岸和田
2012-08-13,松阪
2012-08-13,平塚
2012-08-13,熊本
2012-08-13,武雄
2012-08-13,一宮
2012-08-14,武雄
2012-08-14,小松島
2012-08-14,青森
2012-08-14,一宮
2012-08-14,岸和田
2012-08-14,熊本
2012-08-14,松阪
2012-08-14,平塚
2012-08-15,熊本
2012-08-15,小松島
2012-08-15,青森
2012-08-15,一宮
2012-08-15,岸和田
2012-08-15,松阪
2012-08-15,平塚
2012-08-16,青森
2012-08-16,岐阜
2012-08-17,広島
2012-08-17,静岡
2012-08-17,和歌山
2012-08-17,前橋
2012-08-17,岐阜
2012-08-17,四日市
2012-08-18,和歌山
2012-08-18,前橋
2012-08-18,岐阜
2012-08-18,静岡
2012-08-18,広島
2012-08-18,四日市
2012-08-19,和歌山
2012-08-19,岐阜
2012-08-19,前橋
2012-08-19,久留米
2012-08-19,静岡
2012-08-19,広島
2012-08-20,高知
2012-08-20,岐阜
2012-08-20,久留米
2012-08-20,松阪
2012-08-20,青森
2012-08-21,久留米
2012-08-21,高知
2012-08-21,松阪
2012-08-21,岐阜
2012-08-21,青森
2012-08-22,青森
2012-08-22,和歌山
2012-08-22,函館
2012-08-22,高知
2012-08-22,豊橋
2012-08-22,武雄
2012-08-22,松阪
2012-08-23,別府
2012-08-23,防府
2012-08-23,武雄
2012-08-23,函館
2012-08-23,和歌山
2012-08-23,福井
2012-08-23,豊橋
2012-08-24,豊橋
2012-08-24,武雄
2012-08-24,和歌山
2012-08-24,防府
2012-08-24,函館
2012-08-24,静岡
2012-08-24,福井
2012-08-24,小倉
2012-08-24,別府
2012-08-25,別府
2012-08-25,静岡
2012-08-25,小倉
2012-08-25,富山
2012-08-25,川崎
2012-08-25,福井
2012-08-25,防府
2012-08-26,川崎
2012-08-26,富山
2012-08-26,静岡
2012-08-27,川崎
2012-08-27,函館
2012-08-27,富山
2012-08-28,函館
2012-08-28,富山
2012-08-29,函館
2012-08-29,別府
2012-08-29,平塚
2012-08-29,前橋
2012-08-29,広島
2012-08-29,大垣
2012-08-30,別府
2012-08-30,前橋
2012-08-30,広島
2012-08-30,平塚
2012-08-30,大垣
2012-08-30,四日市
2012-08-30,福井
2012-08-31,熊本
2012-08-31,平塚
2012-08-31,別府
2012-08-31,大垣
2012-08-31,四日市
2012-08-31,福井
2012-08-31,広島
2012-08-31,前橋
2012-09-01,青森
2012-09-01,福井
2012-09-01,四日市
2012-09-01,熊本
2012-09-02,熊本
2012-09-02,青森
2012-09-03,防府
2012-09-03,和歌山
2012-09-03,一宮
2012-09-03,青森
2012-09-04,和歌山
2012-09-04,青森
2012-09-04,防府
2012-09-04,小倉
2012-09-04,一宮
2012-09-05,宇都宮
2012-09-05,和歌山
2012-09-05,一宮
2012-09-05,松戸
2012-09-05,防府
2012-09-05,佐世保
2012-09-05,小倉
2012-09-06,小倉
2012-09-06,佐世保
2012-09-06,松戸
2012-09-06,大垣
2012-09-06,宇都宮
2012-09-07,宇都宮
2012-09-07,松山
2012-09-07,大垣
2012-09-07,松戸
2012-09-07,いわき平
2012-09-07,佐世保
2012-09-08,松山
2012-09-08,平塚
2012-09-08,大垣
2012-09-08,いわき平
2012-09-09,豊橋
2012-09-09,平塚
2012-09-09,いわき平
2012-09-09,松山
2012-09-10,福井
2012-09-10,平塚
2012-09-10,豊橋
2012-09-10,奈良
2012-09-10,武雄
2012-09-10,函館
2012-09-10,名古屋
2012-09-10,小松島
2012-09-10,熊本
2012-09-11,福井
2012-09-11,豊橋
2012-09-11,奈良
2012-09-11,小松島
2012-09-11,熊本
2012-09-11,武雄
2012-09-11,函館
2012-09-11,名古屋
2012-09-12,福井
2012-09-12,熊本
2012-09-12,名古屋
2012-09-12,武雄
2012-09-12,小松島
2012-09-12,奈良
2012-09-12,函館
2012-09-13,川崎
2012-09-13,前橋
2012-09-14,前橋
2012-09-14,川崎
2012-09-15,広島
2012-09-15,前橋
2012-09-15,川崎
